mask,cidr_length,num_networks,num_hosts
128.0.0.0,1,128 Aÿÿ,"ÿÿ2,147,483,392ÿÿ"
192.0.0.0,2,64 Aÿÿ,"ÿÿ1,073,741,696ÿÿ"
224.0.0.0,3,32 Aÿÿ,"ÿÿ536,870,848ÿÿ"
240.0.0.0,4,16 Aÿÿ,"ÿÿ268,435,424ÿÿ"
248.0.0.0,5,8 Aÿÿ,"ÿÿ134,217,712ÿÿ"
252.0.0.0,6,4 Aÿÿ,"67,108,856ÿÿ"
254.0.0.0,7,2 Aÿÿ,"33,554,428ÿÿ"
255.0.0.0,8,1 Aÿÿ,"ÿÿ16,777,214ÿÿ"
255.128.0.0,9,128 Bÿÿ,"8,388,352ÿÿ"
255.192.0.0,10,64 Bÿÿ,"4,194,176ÿÿ"
255.224.0.0,11,32 Bÿÿ,"2,097,088ÿÿ"
255.240.0.0,12,16 Bÿÿ,"1,048,544ÿÿ"
255.248.0.0,13,8 Bÿÿ,"524,272ÿÿ"
255.252.0.0,14,4 Bÿÿ,"262,136ÿÿ"
255.254.0.0,15,2 Bÿÿ,"131,068ÿÿ"
255.255.0.0,16,1 Bÿÿ,"65,024ÿÿ"
255.255.128.0,17,128 Cÿÿ,"32,512ÿÿ"
255.255.192.0,18,64 Cÿÿ,"ÿÿ16,256ÿÿ"
255.255.224.0,19,32 Cÿÿ,"ÿÿ8,128ÿÿ"
255.255.240.0,20,16 Cÿÿ,"ÿÿ4,064ÿÿ"
255.255.248.0,21,8 Cÿÿ,"ÿÿ2,032ÿÿ"
255.255.252.0,22,4 Cÿÿ,"ÿÿ1,016ÿÿ"
255.255.254.0,23,2 Cÿÿ,ÿÿ508ÿÿ
255.255.255.0,24,1 Cÿÿ,ÿÿ254ÿÿ
255.255.255.128,25,ÿÿ2 subnetsÿÿ,124ÿÿ
255.255.255.192,26,ÿÿ4 subnetsÿÿ,62ÿÿ
255.255.255.224,27,ÿÿ8 subnetsÿÿ,30ÿÿ
255.255.255.240,28,ÿÿ16 subnetsÿÿ,14ÿÿ
255.255.255.248,29,32 subnetsÿÿ,6ÿÿ
255.255.255.252,30,64 subnetsÿÿ,2ÿÿ
255.255.255.254ÿÿ,31,ÿÿnone,ÿÿnone
255.255.255.255,32,ÿÿ1/256 C,1ÿÿ
