ip,blnk,host,object_class,domain,,,,,,,,,,,,int,int_desc
10.72.253.19,,aup-adm-01-a-csw-1_vl21,switch,pfizer.com,,,,,,,,,,,,Vl21,
10.72.254.2,,aup-adm-01-a-csw-1_vl99,switch,pfizer.com,,,,,,,,,,,,Vl99,
10.72.128.251,,aup-adm-01-a-csw-1_vl1128,switch,pfizer.com,,,,,,,,,,,,Vl1128,
10.72.129.251,,aup-adm-01-a-csw-1_vl1129,switch,pfizer.com,,,,,,,,,,,,Vl1129,
10.72.130.251,,aup-adm-01-a-csw-1_vl1130,switch,pfizer.com,,,,,,,,,,,,Vl1130,
10.72.255.254,,aup-adm-01-a-csw-1,Loopback,pfizer.com,,,,,,,,,,,,Lo0,
10.72.253.10,,aup-adm-01-a-csw-1_eth3_7,switch,pfizer.com,,,,,,,,,,,,Eth3_7,
10.72.253.49,,aup-adm-01-a-csw-1_eth3_8,Loopback,pfizer.com,,,,,,,,,,,,Eth3_8,
10.72.253.33,,aup-adm-01-a-csw-1_eth3_9,switch,pfizer.com,,,,,,,,,,,,Eth3_9,
10.72.253.66,,aup-adm-01-a-csw-1_eth3_11,switch,pfizer.com,,,,,,,,,,,,Eth3_11,
10.72.253.2,,aup-adm-01-a-csw-1_eth4_7,switch,pfizer.com,,,,,,,,,,,,Eth4_7,
10.72.253.53,,aup-adm-01-a-csw-1_eth4_8,switch,pfizer.com,,,,,,,,,,,,Eth4_8,
10.72.253.37,,aup-adm-01-a-csw-1_eth4_9,switch,pfizer.com,,,,,,,,,,,,Eth4_9,
10.72.253.74,,aup-adm-01-a-csw-1_eth4_11,switch,pfizer.com,,,,,,,,,,,,Eth4_11,
10.72.253.20,,aup-int-01-a-csw-1_vl21,Switch,pfizer.com,,,,,,,,,,,,Vl21,
10.72.254.3,,aup-int-01-a-csw-1_vl99,Switch,pfizer.com,,,,,,,,,,,,Vl99,
10.72.128.252,,aup-int-01-a-csw-1_vl1128,Switch,pfizer.com,,,,,,,,,,,,Vl1128,
10.72.129.252,,aup-int-01-a-csw-1_vl1129,Switch,pfizer.com,,,,,,,,,,,,Vl1129,
10.72.130.252,,aup-int-01-a-csw-1_vl1130,Switch,pfizer.com,,,,,,,,,,,,Vl1130,
10.72.255.253,,aup-int-01-a-csw-1,Loopback,pfizer.com,,,,,,,,,,,,Lo0,
10.72.253.14,,aup-int-01-a-csw-1_eth3_7,Switch,pfizer.com,,,,,,,,,,,,Eth3_7,
10.72.253.57,,aup-int-01-a-csw-1_eth3_8,Switch,pfizer.com,,,,,,,,,,,,Eth3_8,
10.72.253.45,,aup-int-01-a-csw-1_eth3_9,Switch,pfizer.com,,,,,,,,,,,,Eth3_9,
10.72.253.70,,aup-int-01-a-csw-1_eth3_11,Switch,pfizer.com,,,,,,,,,,,,Eth3_11,
10.72.253.6,,aup-int-01-a-csw-1_eth4_7,Switch,pfizer.com,,,,,,,,,,,,Eth4_7,
10.72.253.62,,aup-int-01-a-csw-1_eth4_8,Switch,pfizer.com,,,,,,,,,,,,Eth4_8,
10.72.253.41,,aup-int-01-a-csw-1_eth4_9,Switch,pfizer.com,,,,,,,,,,,,Eth4_9,
10.72.253.78,,aup-int-01-a-csw-1_eth4_11,Switch,pfizer.com,,,,,,,,,,,,Eth4_11,
202.191.223.123,,aup-int-a-a-rtr-001_gig0_0,Switch,pfizer.com,,,,,,,,,,,,Gig0_0,
10.72.253.13,,aup-int-a-a-rtr-001_gig0_1,Switch,pfizer.com,,,,,,,,,,,,Gig0_1,
10.72.253.9,,aup-int-a-a-rtr-001_gig0_2,Switch,pfizer.com,,,,,,,,,,,,Gig0_2,
10.72.255.250,,aup-int-a-a-rtr-001,Loopback,pfizer.com,,,,,,,,,,,,Lo0,
10.26.50.202,,aup-int-a-a-rtr-001_tunnel0,Switch,pfizer.com,,,,,,,,,,,,Tunnel0,
10.72.253.27,,aup-adm-01-e-csw-003_vl121,switch,pfizer.com,,,,,,,,,,,,Vl121,
172.22.128.251,,aup-adm-01-e-csw-003_vl3200,switch,pfizer.com,,,,,,,,,,,,Vl3200,
172.22.129.251,,aup-adm-01-e-csw-003_vl3201,switch,pfizer.com,,,,,,,,,,,,Vl3201,
172.22.130.251,,aup-adm-01-e-csw-003_vl3202,switch,pfizer.com,,,,,,,,,,,,Vl3202,
172.22.131.251,,aup-adm-01-e-csw-003_vl3203,switch,pfizer.com,,,,,,,,,,,,Vl3203,
172.22.132.251,,aup-adm-01-e-csw-003_vl3204,switch,pfizer.com,,,,,,,,,,,,Vl3204,
172.22.133.251,,aup-adm-01-e-csw-003_vl3205,switch,pfizer.com,,,,,,,,,,,,Vl3205,
172.22.134.251,,aup-adm-01-e-csw-003_vl3206,switch,pfizer.com,,,,,,,,,,,,Vl3206,
10.72.255.252,,aup-adm-01-e-csw-003,switch,pfizer.com,,,,,,,,,,,,Lo0,
4.4.4.1,,aup-adm-01-e-csw-003_po101,switch,pfizer.com,,,,,,,,,,,,Po101,
10.72.253.28,,aup-int-01-a-csw-001_vl121,switch,pfizer.com,,,,,,,,,,,,Vl121,
172.22.128.252,,aup-int-01-a-csw-001_vl3200,switch,pfizer.com,,,,,,,,,,,,Vl3200,
172.22.129.252,,aup-int-01-a-csw-001_vl3201,switch,pfizer.com,,,,,,,,,,,,Vl3201,
172.22.130.252,,aup-int-01-a-csw-001_vl3202,switch,pfizer.com,,,,,,,,,,,,Vl3202,
172.22.131.252,,aup-int-01-a-csw-001_vl3203,switch,pfizer.com,,,,,,,,,,,,Vl3203,
172.22.132.252,,aup-int-01-a-csw-001_vl3204,switch,pfizer.com,,,,,,,,,,,,Vl3204,
172.22.133.252,,aup-int-01-a-csw-001_vl3205,switch,pfizer.com,,,,,,,,,,,,Vl3205,
172.22.134.252,,aup-int-01-a-csw-001_vl3206,switch,pfizer.com,,,,,,,,,,,,Vl3206,
10.72.255.251,,aup-int-01-a-csw-001,Loopback,pfizer.com,,,,,,,,,,,,Lo0,
4.4.4.2,,aup-int-01-a-csw-001_po101,switch,pfizer.com,,,,,,,,,,,,Po101,
10.72.254.101,,aup-adm-01-a-asw-003_vl100,switch,pfizer.com,,,,,,,,,,,,Vl100,
10.72.0.251,,aup-adm-01-a-asw-003_vl1010,switch,pfizer.com,,,,,,,,,,,,Vl1010,
10.72.1.251,,aup-adm-01-a-asw-003_vl1011,switch,pfizer.com,,,,,,,,,,,,Vl1011,
10.72.2.251,,aup-adm-01-a-asw-003_vl1012,switch,pfizer.com,,,,,,,,,,,,Vl1012,
10.72.3.251,,aup-adm-01-a-asw-003_vl1013,switch,pfizer.com,,,,,,,,,,,,Vl1013,
10.72.4.251,,aup-adm-01-a-asw-003_vl1014,switch,pfizer.com,,,,,,,,,,,,Vl1014,
10.72.5.251,,aup-adm-01-a-asw-003_vl1015,switch,pfizer.com,,,,,,,,,,,,Vl1015,
10.72.6.251,,aup-adm-01-a-asw-003_vl1016,switch,pfizer.com,,,,,,,,,,,,Vl1016,
10.72.7.251,,aup-adm-01-a-asw-003_vl1017,switch,pfizer.com,,,,,,,,,,,,Vl1017,
10.72.8.251,,aup-adm-01-a-asw-003_vl1018,switch,pfizer.com,,,,,,,,,,,,Vl1018,
10.72.9.251,,aup-adm-01-a-asw-003_vl1019,switch,pfizer.com,,,,,,,,,,,,Vl1019,
10.72.10.251,,aup-adm-01-a-asw-003_vl1020,switch,pfizer.com,,,,,,,,,,,,Vl1020,
10.72.11.251,,aup-adm-01-a-asw-003_vl1021,switch,pfizer.com,,,,,,,,,,,,Vl1021,
10.72.56.251,,aup-adm-01-a-asw-003_vl1056,switch,pfizer.com,,,,,,,,,,,,Vl1056,
10.72.64.251,,aup-adm-01-a-asw-003_vl1064,switch,pfizer.com,,,,,,,,,,,,Vl1064,
10.72.65.251,,aup-adm-01-a-asw-003_vl1065,switch,pfizer.com,,,,,,,,,,,,Vl1065,
10.72.66.251,,aup-adm-01-a-asw-003_vl1066,switch,pfizer.com,,,,,,,,,,,,Vl1066,
10.72.67.251,,aup-adm-01-a-asw-003_vl1067,switch,pfizer.com,,,,,,,,,,,,Vl1067,
10.72.68.251,,aup-adm-01-a-asw-003_vl1068,switch,pfizer.com,,,,,,,,,,,,Vl1068,
10.72.69.251,,aup-adm-01-a-asw-003_vl1069,switch,pfizer.com,,,,,,,,,,,,Vl1069,
10.72.70.251,,aup-adm-01-a-asw-003_vl1070,switch,pfizer.com,,,,,,,,,,,,Vl1070,
10.72.71.251,,aup-adm-01-a-asw-003_vl1071,switch,pfizer.com,,,,,,,,,,,,Vl1071,
10.72.72.251,,aup-adm-01-a-asw-003_vl1072,switch,pfizer.com,,,,,,,,,,,,Vl1072,
10.72.73.251,,aup-adm-01-a-asw-003_vl1073,switch,pfizer.com,,,,,,,,,,,,Vl1073,
10.72.74.251,,aup-adm-01-a-asw-003_vl1074,switch,pfizer.com,,,,,,,,,,,,Vl1074,
10.72.75.251,,aup-adm-01-a-asw-003_vl1075,switch,pfizer.com,,,,,,,,,,,,Vl1075,
10.72.76.251,,aup-adm-01-a-asw-003_vl1076,switch,pfizer.com,,,,,,,,,,,,Vl1076,
10.72.77.251,,aup-adm-01-a-asw-003_vl1077,switch,pfizer.com,,,,,,,,,,,,Vl1077,
