net,mask,network,name,site_code,use_typ,logical_data,-,VL,vlan,region
10.72.253.16,255.255.255.248,10.0.0.0,AUP-SLAN-Firewall_HSRP_VIP-VL21,AUP,SLAN,Firewall_HSRP_VIP,-,VL,21,APAC
10.72.254.0,255.255.255.192,10.0.0.0,AUP-SLAN-Mgmt_VLAN-VL99,AUP,SLAN,Mgmt_VLAN,-,VL,99,APAC
10.72.128.0,255.255.255.0,10.0.0.0,AUP-SLAN-HS_WL_User_VDC_1-VL1128,AUP,SLAN,HS_WL_User_VDC_1,-,VL,1128,APAC
10.72.129.0,255.255.255.0,10.0.0.0,AUP-SLAN-HS_WL_User2_VDC_1-VL1129,AUP,SLAN,HS_WL_User2_VDC_1,-,VL,1129,APAC
10.72.130.0,255.255.255.0,10.0.0.0,AUP-SLAN-HS_WL_Guest_VDC_1-VL1130,AUP,SLAN,HS_WL_Guest_VDC_1,-,VL,1130,APAC
,,,,,,,-,VL,,
10.72.253.8,255.255.255.252,10.0.0.0,AUP-SLAN-Connected_To_VPN_Router_Gi0_2-VL0,AUP,SLAN,Connected_To_VPN_Router_Gi0_2,-,VL,0,APAC
10.72.253.48,255.255.255.252,10.0.0.0,AUP-SLAN-Connected_To_5K_1_E1_5-VL0,AUP,SLAN,Connected_To_5K_1_E1_5,-,VL,0,APAC
10.72.253.32,255.255.255.252,10.0.0.0,AUP-SLAN-Connected_To_Distribution_VDC_1_E3_32-VL0,AUP,SLAN,Connected_To_Distribution_VDC_1_E3_32,-,VL,0,APAC
10.72.253.64,255.255.255.252,10.0.0.0,AUP-SLAN-Connected_To_Voice_Gateway_1_Gi0_1-VL0,AUP,SLAN,Connected_To_Voice_Gateway_1_Gi0_1,-,VL,0,APAC
10.72.253.0,255.255.255.252,10.0.0.0,AUP-SLAN-Connected_To_MPLS_Router_Gi0_1-VL0,AUP,SLAN,Connected_To_MPLS_Router_Gi0_1,-,VL,0,APAC
10.72.253.52,255.255.255.252,10.0.0.0,AUP-SLAN-Connected_To_5K_2_E1_6-VL0,AUP,SLAN,Connected_To_5K_2_E1_6,-,VL,0,APAC
10.72.253.36,255.255.255.252,10.0.0.0,AUP-SLAN-Connected_To_Distribution_VDC_2_E4_32-VL0,AUP,SLAN,Connected_To_Distribution_VDC_2_E4_32,-,VL,0,APAC
10.72.253.72,255.255.255.252,10.0.0.0,AUP-SLAN-Connected_To_Voice_Gateway_2_Gi0_1-VL0,AUP,SLAN,Connected_To_Voice_Gateway_2_Gi0_1,-,VL,0,APAC
,,,,,,,-,VL,,
,,,,,,,-,VL,,
,,,,,,,-,VL,,
,,,,,,,-,VL,,
,,,,,,,-,VL,,
,,,,,,,-,VL,,
10.72.253.12,255.255.255.252,10.0.0.0,AUP-SLAN-Connected_To_VPN_Router_Gi0_1-VL0,AUP,SLAN,Connected_To_VPN_Router_Gi0_1,-,VL,0,APAC
10.72.253.56,255.255.255.252,10.0.0.0,AUP-SLAN-Connected_To_5K_2_E1_5-VL0,AUP,SLAN,Connected_To_5K_2_E1_5,-,VL,0,APAC
10.72.253.44,255.255.255.252,10.0.0.0,AUP-SLAN-Connected_To_Distribution_VDC_2_E3_32-VL0,AUP,SLAN,Connected_To_Distribution_VDC_2_E3_32,-,VL,0,APAC
10.72.253.68,255.255.255.252,10.0.0.0,AUP-SLAN-Connected_To_Voice_Gateway_1_Gi0_2-VL0,AUP,SLAN,Connected_To_Voice_Gateway_1_Gi0_2,-,VL,0,APAC
10.72.253.4,255.255.255.252,10.0.0.0,AUP-SLAN-Connected_To_MPLS_Router_Gi0_0_0-VL0,AUP,SLAN,Connected_To_MPLS_Router_Gi0_0_0,-,VL,0,APAC
10.72.253.60,255.255.255.252,10.0.0.0,AUP-SLAN-Connected_To_5K_1_E1_6-VL0,AUP,SLAN,Connected_To_5K_1_E1_6,-,VL,0,APAC
10.72.253.40,255.255.255.252,10.0.0.0,AUP-SLAN-Connected_To_Distribution_VDC_1_E4_32-VL0,AUP,SLAN,Connected_To_Distribution_VDC_1_E4_32,-,VL,0,APAC
10.72.253.76,255.255.255.252,10.0.0.0,AUP-SLAN-Connected_To_Voice_Gateway_2_Gi0_2-VL0,AUP,SLAN,Connected_To_Voice_Gateway_2_Gi0_2,-,VL,0,APAC
,,,,,,,-,VL,,
,,,,,,,-,VL,,
,,,,,,,-,VL,,
,,,,,,,-,VL,,
10.26.50.200,255.255.255.252,10.0.0.0,AUP-SLAN-Omaha_VPN_RTR-VL0,AUP,SLAN,Omaha_VPN_RTR,-,VL,0,APAC
10.72.253.24,255.255.255.248,10.0.0.0,AUP-SLAN-Secure_HSRP_VDC_1-VL121,AUP,SLAN,Secure_HSRP_VDC_1,-,VL,121,APAC
172.22.128.0,255.255.255.0,172.22.128.0,AUP-SLAN-EMPOWER-VL3200,AUP,SLAN,EMPOWER,-,VL,3200,APAC
172.22.129.0,255.255.255.0,172.22.129.0,AUP-SLAN-Aura_0F_PD_Data_Secure_VDC-VL3201,AUP,SLAN,Aura_0F_PD_Data_Secure_VDC,-,VL,3201,APAC
172.22.130.0,255.255.255.0,172.22.130.0,AUP-SLAN-Aura_1F_QC_Data_Secure_VDC-VL3202,AUP,SLAN,Aura_1F_QC_Data_Secure_VDC,-,VL,3202,APAC
172.22.131.0,255.255.255.0,172.22.131.0,AUP-SLAN-Aura_2F_DC_Data_Secure_VDC-VL3203,AUP,SLAN,Aura_2F_DC_Data_Secure_VDC,-,VL,3203,APAC
172.22.132.0,255.255.255.0,172.22.132.0,AUP-SLAN-PlantI_1F_Data_Secure_VDC-VL3204,AUP,SLAN,PlantI_1F_Data_Secure_VDC,-,VL,3204,APAC
172.22.133.0,255.255.255.0,172.22.133.0,AUP-SLAN-NPNC_PlantII_1F_Data_Secure_VDC-VL3205,AUP,SLAN,NPNC_PlantII_1F_Data_Secure_VDC,-,VL,3205,APAC
172.22.134.0,255.255.255.0,172.22.134.0,AUP-SLAN-Aura_Int_Plant_2F_Data_Secure_VDC-VL3206,AUP,SLAN,Aura_Int_Plant_2F_Data_Secure_VDC,-,VL,3206,APAC
,,,,,,,-,VL,,
,,,,,,,,,,
,,,,,,,-,VL,,
,,,,,,,-,VL,,
,,,,,,,-,VL,,
,,,,,,,-,VL,,
,,,,,,,-,VL,,
,,,,,,,-,VL,,
,,,,,,,-,VL,,
,,,,,,,-,VL,,
,,,,,,,,,,
,,,,,,,,,,
10.72.254.64,255.255.255.192,10.0.0.0,AUP-SLAN-Mgmt_Access_VLAN-VL100,AUP,SLAN,Mgmt_Access_VLAN,-,VL,100,APAC
10.72.0.0,255.255.255.0,10.0.0.0,AUP-ULAN-Aura_Int_2F_Data_VDC_1-VL1010,AUP,ULAN,Aura_Int_2F_Data_VDC_1,-,VL,1010,APAC
10.72.1.0,255.255.255.0,10.0.0.0,AUP-ULAN-Aura_Int_1F_Data_VDC_1-VL1011,AUP,ULAN,Aura_Int_1F_Data_VDC_1,-,VL,1011,APAC
10.72.2.0,255.255.255.0,10.0.0.0,AUP-ULAN-Aura_Str_1F_Data_VDC_1-VL1012,AUP,ULAN,Aura_Str_1F_Data_VDC_1,-,VL,1012,APAC
10.72.3.0,255.255.255.0,10.0.0.0,AUP-ULAN-Aura_hydro_GF_Data_VDC_1-VL1013,AUP,ULAN,Aura_hydro_GF_Data_VDC_1,-,VL,1013,APAC
10.72.4.0,255.255.255.0,10.0.0.0,AUP-ULAN-Aura_EMD_GF_Data_VDC_1-VL1014,AUP,ULAN,Aura_EMD_GF_Data_VDC_1,-,VL,1014,APAC
10.72.5.0,255.255.255.0,10.0.0.0,AUP-ULAN-Aura_SecGate_GF_Data_VDC_1-VL1015,AUP,ULAN,Aura_SecGate_GF_Data_VDC_1,-,VL,1015,APAC
10.72.6.0,255.255.255.0,10.0.0.0,AUP-ULAN-Aura_PCC_L8_Data_VDC_1-VL1016,AUP,ULAN,Aura_PCC_L8_Data_VDC_1,-,VL,1016,APAC
10.72.7.0,255.255.255.0,10.0.0.0,AUP-ULAN-Aura_RMStore_1F_Data_VDC_1-VL1017,AUP,ULAN,Aura_RMStore_1F_Data_VDC_1,-,VL,1017,APAC
10.72.8.0,255.255.255.0,10.0.0.0,AUP-ULAN-Aura_NPNC2_2F_Data_VDC_1-VL1018,AUP,ULAN,Aura_NPNC2_2F_Data_VDC_1,-,VL,1018,APAC
10.72.9.0,255.255.255.0,10.0.0.0,AUP-ULAN-Aura_NPNC2_1F_Data_VDC_1-VL1019,AUP,ULAN,Aura_NPNC2_1F_Data_VDC_1,-,VL,1019,APAC
10.72.10.0,255.255.255.0,10.0.0.0,AUP-ULAN-Aura_NPNC1_1F_Data_VDC_1-VL1020,AUP,ULAN,Aura_NPNC1_1F_Data_VDC_1,-,VL,1020,APAC
10.72.11.0,255.255.255.0,10.0.0.0,AUP-ULAN-Aura_API_1F_Data_VDC_1-VL1021,AUP,ULAN,Aura_API_1F_Data_VDC_1,-,VL,1021,APAC
10.72.56.0,255.255.255.0,10.0.0.0,AUP-SLAN-CCTVSecurity_VDC_1-VL1056,AUP,SLAN,CCTVSecurity_VDC_1,-,VL,1056,APAC
10.72.64.0,255.255.255.0,10.0.0.0,AUP-ULAN-Aura_OF_DC_Data_VDC_1-VL1064,AUP,ULAN,Aura_OF_DC_Data_VDC_1,-,VL,1064,APAC
10.72.65.0,255.255.255.0,10.0.0.0,AUP-ULAN-Aura_OF_PD_Data_VDC_1-VL1065,AUP,ULAN,Aura_OF_PD_Data_VDC_1,-,VL,1065,APAC
10.72.66.0,255.255.255.0,10.0.0.0,AUP-ULAN-Aura_OF_SCM_Data_VDC_1-VL1066,AUP,ULAN,Aura_OF_SCM_Data_VDC_1,-,VL,1066,APAC
10.72.67.0,255.255.255.0,10.0.0.0,AUP-ULAN-Aura_2F_DC_Data_VDC_1-VL1067,AUP,ULAN,Aura_2F_DC_Data_VDC_1,-,VL,1067,APAC
