net,mask,classful,name,site_code,use_typ,logical_data,vlan,region
10.72.253.16,255.255.255.248,10.0.0.0,AUP-SLAN-Firewall_HSRP_VIP-VL21,AUP,SLAN,Firewall_HSRP_VIP,21,APAC
10.72.254.0,255.255.255.192,10.0.0.0,AUP-SLAN-Mgmt_VLAN-VL99,AUP,SLAN,Mgmt_VLAN,99,APAC
10.72.128.0,255.255.255.0,10.0.0.0,AUP-SLAN-HS_WL_User_VDC_1-VL1128,AUP,SLAN,HS_WL_User_VDC_1,1128,APAC
10.72.129.0,255.255.255.0,10.0.0.0,AUP-SLAN-HS_WL_User2_VDC_1-VL1129,AUP,SLAN,HS_WL_User2_VDC_1,1129,APAC
10.72.130.0,255.255.255.0,10.0.0.0,AUP-SLAN-HS_WL_Guest_VDC_1-VL1130,AUP,SLAN,HS_WL_Guest_VDC_1,1130,APAC
,,,,,,,,
10.72.253.8,255.255.255.252,10.0.0.0,AUP-SLAN-Connected_To_VPN_Router_Gi0_2-VL0,AUP,SLAN,Connected_To_VPN_Router_Gi0_2,0,APAC
10.72.253.48,255.255.255.252,10.0.0.0,AUP-SLAN-Connected_To_5K_1_E1_5-VL0,AUP,SLAN,Connected_To_5K_1_E1_5,0,APAC
10.72.253.32,255.255.255.252,10.0.0.0,AUP-SLAN-Connected_To_Distribution_VDC_1_E3_32-VL0,AUP,SLAN,Connected_To_Distribution_VDC_1_E3_32,0,APAC
10.72.253.64,255.255.255.252,10.0.0.0,AUP-SLAN-Connected_To_Voice_Gateway_1_Gi0_1-VL0,AUP,SLAN,Connected_To_Voice_Gateway_1_Gi0_1,0,APAC
10.72.253.0,255.255.255.252,10.0.0.0,AUP-SLAN-Connected_To_MPLS_Router_Gi0_1-VL0,AUP,SLAN,Connected_To_MPLS_Router_Gi0_1,0,APAC
10.72.253.52,255.255.255.252,10.0.0.0,AUP-SLAN-Connected_To_5K_2_E1_6-VL0,AUP,SLAN,Connected_To_5K_2_E1_6,0,APAC
10.72.253.36,255.255.255.252,10.0.0.0,AUP-SLAN-Connected_To_Distribution_VDC_2_E4_32-VL0,AUP,SLAN,Connected_To_Distribution_VDC_2_E4_32,0,APAC
10.72.253.72,255.255.255.252,10.0.0.0,AUP-SLAN-Connected_To_Voice_Gateway_2_Gi0_1-VL0,AUP,SLAN,Connected_To_Voice_Gateway_2_Gi0_1,0,APAC
